Country, Variable, Unit, Symbol, "1965", "1966", "1967", "1968", "1969", "1970", "1971", "1972", "1973", "1974", "1975", "1976", "1977", "1978", "1979", "1980", "1981", "1982", "1983", "1984", "1985", "1986", "1987", "1988", "1989", "1990", "1991", "1992", "1993", "1994", "1995", "1996", "1997", "1998", "1999", "2000", "2001", "2002", "2003", "2004", "2005", "2006", "2007", "2008", "2009", "2010", "2011", "2012", "2013", "2014", "2015", "2016", "2017", "2018", "2019", "2020"
Austria, Industrial water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , 2.69, 2.68, 2.68, 2.68, , 2.74, 2.81, 2.88, 2.95, , 2.95, 2.88, 2.8, 2.73, , 2.76, , 2.88, , 2.88, 2.85, 2.83, 2.81, 2.79, 2.76, 2.74, 2.72, , 2.69, 2.69, 2.69, 2.69, 2.69, 2.69, 2.69, 2.69, 2.69, 2.69, 2.69, 2.69
Austria, Industrial water withdrawal, 10^9 m3/year, X, , , , , , , , , , , , , , , , 2.69, , , , , 2.67, , , , , 3.02, , , , , 2.66, , 2.86, , 2.9, , , , , , , , , 2.69, , , , , , , , , , , , 
Azerbaijan, Industrial water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4.26, 4.03, 2.95, 2.82, 2.95, 2.9, 3.18, 4.35, 3.77, 3.46, 2.88, 3.24, 3.14, 3.22, 3.39, 3.09, 2.98, 2.38, 2.53, 2.51, 3.11, 3.04, 3.13, 0.61, 0.67, 0.59, 0.53, 0.57, 
Azerbaijan, Industrial water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.57
Bahrain, Industrial water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , 0.01, , , , , , , , , , , , , 0.02, , , , , , , , , , , 0.02, 0.01, 0.01, , , , 
Bahrain, Industrial water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, , 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, , , , 0.01, 0.01, 0.01, 0.01
Bangladesh, Industrial water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , 0.23, , , 0.33, , , , , , , , , , , , , , , , , , 0.77, , , , , , , , , , , , 
Bangladesh, Industrial water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , 0.26, 0.29, , 0.35, 0.38, 0.4, 0.43, 0.45, 0.48, 0.5, 0.53, 0.55, 0.57, 0.6, 0.62, 0.65, 0.67, 0.7, 0.72, 0.75, , 0.77, 0.77, 0.77, 0.77, 0.77, 0.77, 0.77, 0.77, 0.77, 0.77, 0.77, 0.77
Barbados, Industrial water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.01, , , , , , , , , , , , , , , , , , , , , , , , 
Barbados, Industrial water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.01, , , , , , , , , , , , , , , 
Barbados, Industrial water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, , 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01
Belarus, Industrial water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.32, 0.31, 0.46, 0.44, 0.44, 0.44, 0.41
Belarus, Industrial water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.66, , , , , 0.54, , , , , 0.49, , , , , 0.49, , , 0.48, , , , , , , 
Belarus, Industrial water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.64, 0.61, 0.59, 0.57, , 0.53, 0.52, 0.51, 0.5, , 0.49, 0.49, 0.49, 0.49, , 0.48, 0.48, , , , , , , , 
Belgium, Industrial water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , 7.68, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3.21, , 3.47, , , 
Belgium, Industrial water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , 7.67, 7.65, 7.64, 7.63, 7.62, 7.61, 7.6, 7.59, 7.58, 7.57, 7.56, 7.54, 7.53, 7.52, , 7.16, , 6.78, 6.77, , 6.36, , 5.85, 5.73, , 5.53, , 5.35, , 4.92, 4.57, 4.23, 3.89, 3.55, , 3.34, , 3.47, 3.47, 3.47
Belgium, Industrial water withdrawal, 10^9 m3/year, X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 7.51, , 6.8, , , 6.75, , 5.96, , , 5.61, , 5.45, , 5.26, , , , , , , , , , , 
Belize, Industrial water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.02, , , , , , , , , , , , , , , , , , , , 
Belize, Industrial water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.02, 0.02, 0.02, , 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02
Benin, Industrial water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , 0.01, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Benin, Industrial water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.03, , , , , , , , , , , , , , , , , , , 
Benin, Industrial water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.03, 0.03, 0.03, 0.03, 0.03, , 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03
Bhutan, Industrial water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
