Country, Variable, Unit, Symbol, "1964", "1965", "1966", "1967", "1968", "1969", "1970", "1971", "1972", "1973", "1974", "1975", "1976", "1977", "1978", "1979", "1980", "1981", "1982", "1983", "1984", "1985", "1986", "1987", "1988", "1989", "1990", "1991", "1992", "1993", "1994", "1995", "1996", "1997", "1998", "1999", "2000", "2001", "2002", "2003", "2004", "2005", "2006", "2007", "2008", "2009", "2010", "2011", "2012", "2013", "2014", "2015", "2016", "2017", "2018", "2019", "2020"
Barbados, Total water withdrawal per capita, m3/inhab/year, E, 140.67, 146.55, 152.49, 158.46, 164.39, 170.2, 175.81, 181.18, 186.32, 191.3, 196.2, 201.09, 205.99, 210.9, 215.82, 220.81, 225.84, 230.95, 236.14, 241.38, 246.58, 251.69, 256.7, 261.61, 266.43, 271.2, 275.93, 280.64, 285.29, 289.91, 294.46, 298.92, 303.32, 302.03, 300.74, 299.5, 298.33, 297.25, 296.24, 295.27, 294.24, 293.14, 291.92, 290.64, 289.34, 288.15, 287.1, 286.23, 285.51, 284.91, 284.38, 283.89, 283.42, 282.99, 282.58, 282.21, 281.86
Belarus, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 196.48, 194.27, 192.1, 189.99, 187.98, 186.09, 184.56, 183.11, 181.67, 180.13, 178.41, 175.94, 173.28, 170.45, 167.45, 164.32, 163.21, 161.98, 160.66, 166.57, 153.29, 153.72, 147.83, 147.16, 143.67, 140.64
Belgium, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , 921.1, 914.96, 908.93, 903.09, 897.25, 891.15, 884.7, 878.27, 871.42, 864.15, 856.4, 848.1, 839.36, 830.44, 821.84, 813.8, 783.81, 754.44, 747.78, 741, 732.89, 691.62, 650.08, 635.67, 620.58, 605.7, 593.51, 581.19, 564.91, 552.67, 517.98, 483.94, 450.5, 418.15, 384.27, 353.83, 363.24, 384.6, 371.3, 369.46, 367.86
Belize, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , , , , , , , , 114.73, 128.97, 142.68, 156.05, 169.29, 182.4, 194.99, 239.02, 279.64, 311.24, 339.04, 363.74, 386.53, 408.39, 395.98, 384.94, 374.87, 365.28, 355.88, 346.69, 337.76, 329.18, 320.99, 313.21, 305.84, 298.82, 292.15, 285.82, 279.83, 274.16, 268.78, 263.66, 258.74, 254.01
Benin, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , , , , , , 25.71, 26.07, 26.38, 26.63, 26.82, 26.93, 26.98, 26.96, 26.91, 26.85, 25.41, 24.08, 22.83, 21.64, 20.51, 19.42, 18.37, 19.01, 19.6, 20.15, 20.65, 21.12, 21.56, 21.96, 22.33, 22.66, 22.95, 23.21, 23.45, 23.65, 23.83, 21.98, 20.94, 20.37, 19.83, 19.3
Bhutan, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 503.27, 498.29, 493.07, 487.52, 481.77, 475.9, 470.06, 464.36, 458.8, 453.35, 448.05, 442.93, 438.05
Bolivia (Plurinational State of), Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , , , , , , , , 192.46, 197.47, 202.18, 206.6, 210.76, 214.66, 218.33, 221.79, 225.06, 228.16, 231.1, 233.89, 236.55, 233.81, 231.15, 228.58, 226.08, 223.68, 221.35, 219.11, 216.95, 214.78, 211.23, 207.79, 204.45, 201.2, 198.06, 195.02, 192.09, 189.27, 186.55, 183.91, 181.36, 178.87
Botswana, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , , , , , , 84.15, 83.96, 83.61, 83.2, 82.86, 82.69, 82.71, 82.87, 88.01, 92.93, 97.61, 102.02, 106.23, 110.27, 114.19, 118.05, 117.05, 116.18, 115.35, 114.46, 113.45, 110.55, 107.6, 104.75, 102.13, 99.82, 97.85, 95.27, 92.65, 89.96, 88.55, 93.2, 87.53, 90.5, 87.68, 93.73
Brazil, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , , , , , , , , 248.7, 259.31, 269.58, 279.52, 289.18, 298.57, 307.68, 316.52, 325.06, 333.32, 330.07, 326.94, 323.99, 321.24, 318.69, 316.31, 314.12, 312.11, 310.27, 308.61, 327.46, 346.04, 364.34, 382.34, 366.45, 350.9, 335.66, 320.72, 312.3, 321.64, 316.02, 317.47, 319.55, 316.15
Brunei Darussalam, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , 285.49, 296.95, 307.68, 317.84, 309.65, 302.01, 294.91, 288.27, 282.03, 276.14, 270.56, 265.3, 260.41, 255.96, 251.98, 248.47, 245.36, 242.47, 239.64, 236.72, 233.69, 230.58, 227.49, 224.52, 221.74, 219.15, 216.74, 214.47, 212.33, 210.3
